Index;Product Name;Colors;Pic Urls;Care Instructions
60;Regularfit cottonblend sweater with 3D structure;Dark Blue;https://images.hugoboss.com/is/image/boss/hbeu50434309_404_100?wid=462&qlt=80  ;careinstructioncode.S30R  Do Not Bleach  Do Not Tumble Dry  Iron Low Heat  Gentle chemical dry cleaning P
61;Knitted jacket with bafflequilted front panel;Dark Blue;https://images.hugoboss.com/is/image/boss/hbeu50434334_404_100?wid=462&qlt=80  ;careinstructioncode.S30R  Do Not Bleach  Do Not Tumble Dry  Iron Low Heat  Gentle chemical dry cleaning P
62;Turtleneck knitted jacket with zipthrough front;Dark Blue;https://images.hugoboss.com/is/image/boss/hbeu50434319_404_100?wid=462&qlt=80  ;careinstructioncode.S30R  Do Not Bleach  Do Not Tumble Dry  Iron Low Heat  Gentle chemical dry cleaning P
63;Slimfit rollneck sweater with mixed knits;Dark Blue  Grey;https://images.hugoboss.com/is/image/boss/hbeu50437863_404_100?wid=462&qlt=80  ;careinstructioncode.S30R  Do Not Bleach  Do Not Tumble Dry  Iron Medium Heat  Chemical dry cleaning P
64;Virginwool sweater with chunky rib structure;Light Green  Green;https://images.hugoboss.com/is/image/boss/hbeu50435295_349_100?wid=462&qlt=80  ;careinstructioncode.S30R  Do Not Bleach  Do Not Tumble Dry  Iron Medium Heat  Chemical dry cleaning P
65;Polocollar sweater in virgin wool with embroidered logo;light pink  Dark Blue  Dark Blue  Light Green  Beige  Grey  Black;https://images.hugoboss.com/is/image/boss/hbeu50435429_687_100?wid=462&qlt=80  ;careinstructioncode.S30R  Do Not Bleach  Do Not Tumble Dry  Iron Medium Heat  Chemical dry cleaning P
66;Colourblocked sweater in a wool blend;Black;https://images.hugoboss.com/is/image/boss/hbeu50434831_001_100?wid=462&qlt=80  ;careinstructioncode.S30R  Do Not Bleach  Do Not Tumble Dry  Iron Medium Heat  Chemical dry cleaning P
67;Cottonblend crewneck sweater with diagonal ribbing;Dark Blue;https://images.hugoboss.com/is/image/boss/hbeu50435306_402_100?wid=462&qlt=80  ;30 mild fine wash  Do Not Bleach  Do Not Tumble Dry  Iron Medium Heat  Gentle chemical dry cleaning P
68;Leather jacket with zipped chest pockets;Black;https://images.hugoboss.com/is/image/boss/hbeu50448928_001_100?wid=462&qlt=80  ;Do Not Wash  Do Not Bleach  Do Not Tumble Dry  Do Not Iron  Gentle chemical dry cleaning F
69;Lightweight quilted jacket in 100% recycled materials;Black  Brown;https://images.hugoboss.com/is/image/boss/hbeu50447079_001_100?wid=462&qlt=80  ;Do Not Wash  Do Not Bleach  Do Not Tumble Dry  Iron Low Heat  Do not chemical dry clean  Very mild professional wet clean
70;Extraslimfit biker jacket in nappa leather;Black;https://images.hugoboss.com/is/image/boss/hbeu50449575_001_100?wid=462&qlt=80  ;Do Not Wash  Do Not Bleach  Do Not Tumble Dry  Do Not Iron  Gentle chemical dry cleaning F
71;Hybrid zipthrough jacket with drawstring hood;Dark Blue;https://images.hugoboss.com/is/image/boss/hbeu50449940_402_100?wid=462&qlt=80  ;careinstructioncode.S30R  Do Not Bleach  Do Not Tumble Dry  Iron Low Heat  Do not chemical dry clean  Mild professional wet clean
72;Biker jacket in nappa leather with mixed finishes;Black;https://images.hugoboss.com/is/image/boss/hbeu50448034_001_100?wid=462&qlt=80  ;Do Not Wash  Do Not Bleach  Do Not Tumble Dry  Do Not Iron  Gentle chemical dry cleaning F
73;Lightweight quilted jacket in 100% recycled materials;Brown  Black;https://images.hugoboss.com/is/image/boss/hbeu50447079_342_100?wid=462&qlt=80  ;Do Not Wash  Do Not Bleach  Do Not Tumble Dry  Iron Low Heat  Do not chemical dry clean  Very mild professional wet clean
74;Zipneck sweater in cottonblend moulin yarn;Dark Blue;https://images.hugoboss.com/is/image/boss/hbeu50437852_404_100?wid=462&qlt=80  ;careinstructioncode.S30R  Do Not Bleach  Do Not Tumble Dry  Iron Low Heat  Gentle chemical dry cleaning P
75;Lightweight down jacket with waterrepellent finish;Red;https://images.hugoboss.com/is/image/boss/hbeu50440963_002_100?wid=462&qlt=80  ;Do Not Wash  Do Not Bleach  Do Not Tumble Dry  Iron Low Heat  Do not chemical dry clean  Very mild professional wet clean
76;Microstructured crewneck sweater in virgin wool;Dark Blue  Light Green  Light Grey  Dark Grey;https://images.hugoboss.com/is/image/boss/hbeu50438992_404_100?wid=462&qlt=80  ;careinstructioncode.S30R  Do Not Bleach  Do Not Tumble Dry  Iron Low Heat  Chemical dry cleaning P
77;Slimfit Tshirt with long sleeves in waffle cotton;Blue  Red  Red  Dark Red  Dark Red  Light Purple  Light Blue  Light Blue  Dark Blue  Dark Blue  Light Green  Green  Green  Light Brown  White  Light Grey  Dark Grey  Black;https://images.hugoboss.com/is/image/boss/hbeu50401846_435_100?wid=462&qlt=80  ;30 mild fine wash  Do Not Bleach  Do Not Tumble Dry  Iron Low Heat  Gentle chemical dry cleaning P
78;Microstructured crewneck sweater in virgin wool;Light Green  Dark Blue  Light Grey  Dark Grey;https://images.hugoboss.com/is/image/boss/hbeu50438992_346_100?wid=462&qlt=80  ;careinstructioncode.S30R  Do Not Bleach  Do Not Tumble Dry  Iron Low Heat  Chemical dry cleaning P
79;Zipped cardigan in Italian virgin wool with embroidered logo;Dark Blue  Beige  Grey  Black;https://images.hugoboss.com/is/image/boss/hbeu50435451_402_100?wid=462&qlt=80  ;careinstructioncode.S30R  Do Not Bleach  Do Not Tumble Dry  Iron Medium Heat  Chemical dry cleaning P
80;Regularfit sweater in a cottonkapok blend;Dark Blue  Red  Grey  Dark Grey;https://images.hugoboss.com/is/image/boss/hbeu50434305_405_100?wid=462&qlt=80  ;30 mild fine wash  Do Not Bleach  Do Not Tumble Dry  Iron Low Heat  Chemical dry cleaning P
81;Turtleneck sweater in extrafine Italian merino wool;Dark Grey  Light Orange  Dark Blue  Dark Blue  Green  Beige  White  Grey  Black;https://images.hugoboss.com/is/image/boss/hbeu50392083_061_100?wid=462&qlt=80  ;careinstructioncode.S30R  Do Not Bleach  Do Not Tumble Dry  Iron Medium Heat  Chemical dry cleaning P
